AAT;term=activity as tolerated
ABMT;term=autologous bone marrow transplantation
ABVD;term=Doxorubicin, bleomycin, vinblastine, dacarbazine
abx;term=antibiotics
ABX;term=antibiotics
ACB;term=aortocoronary bypass
ACDF;term=anterior cervical discectomy and fusion
ACE;term=angiotensin-converting enzyme
ACEI;term=angiotensin-converting enzyme inhibitor
ACLS;term=advanced cardiac life support
ACTH;term=adrenocorticotropic hormone
AED;term=automated external defibrillator
AEM;term=ambulatory electrocardiogram monitoring
AFO;term=ankle-foot orthosis
AHG;term=antihemophilic globulin
AI;term=artificial insemination
AICD;term=automated implantable cardioverter-defibrillator
AID;term=artificial insemination by donor
AIH;term=artificial insemination by husband
AIHD;term=artificial insemination by pooled husband and donor semen
AIIRB;term=angiotensin II receptor antagonist
AIR;term=Anterior interval release
AKA;term=above-knee amputation
ALG;term=antilymphocytic globulin
APAP;term=paracetamol
appy;term=appendectomy
Appy;term=appendectomy
APR;term=abdominoperineal resection
APSAC;term=anisoylated plasminogen streptokinase activator complex
ARB;term=angiotensin II receptor antagonist
ART;term=antiretroviral therapy
ASA;term=acetylsalicylic acid
ATB;term=antibiotic
ATG;term=antithymic globulin
ATRA;term=all-trans retinoic acid
AVR;term=aortic valve replacement
AZT;term=azithromycin|azidothymidine
BCP;term=birth control pill
BGAT;term=blood glucose awareness training
BK;term=bradykinin
BKA;term=below-the-knee amputation
BLS;term=basic life support
BMT;term=bone marrow transplantation
BR;term=bedrest
BRAT;term=The BRAT diet: bananas, rice, applesauce, toast
BRATY;term=BRAT diet
BSC;term=bedside commode
BSO;term=bilateral salpingo-oophorectomy
BTL;term=bilateral tubal ligation
BVP;term=biventricular pacing
BZDs;term=benzodiazepines
C-section;term=cesarean section
C/S;term=Caesarean section
CAG;term=coronary artery graft
CAGS;term=coronary artery graft surgery
CAPD;term=continuous ambulatory peritoneal dialysis
caps;term=capsule
cath;term=catheter
Cath;term=catheter
CCR;term=cardiocerebral resuscitation
CDMR;term=cesarean delivery on maternal request
CHOP;term=cyclophosphamide, doxorubicin, vincristine, prednisone
CHS;term=cannulated hip screw
CIB;term=cibus
CPAP;term=continuous positive airway pressure
CRT;term=cardiac resynchronization therapy
CS;term=Caesarean section
CTX;term=ceftriaxone
CVC;term=central venous catheter
D&C;term=dilatation and curettage
D & C;term=dilatation and curettage
D&E;term=dilatation and evacuation
D & E;term=dilatation and evacuation
d/c;term=discharge
D25;term=25% dextrose injections
D4-T;term=stavudine
D4T;term=stavudine
D5;term=5% dextrose
D5W;term=5% dextrose in water
D5W;term=5% dextrose in water
DBS;term=deep brain stimulation
DCBE;term=double contrast barium enema
DCCV;term=direct current cardioversion
DDC;term=zalcitabine
dx;term=discharge
DHE;term=dihydroergotamine
DMARD;term=disease-modifying antirheumatic drug
DMPA;term=depot medroxyprogesterone acetate
DNAR;term=do not attempt resuscitation
DNI;term=do not intubate
DNR;term=do not resuscitate
DOSS;term=docusate sodium
DPH;term=diphenylhydantoin
DPL;term=diagnostic peritoneal lavage
DPT;term=diphtheria-pertussis-tetanus
DSD;term=dry sterile dressing
Dsg;term=dressing
DT;term=diphtheria-tetanus 
DTaP;term=diphtheria–tetanus–acellular pertussis
DTP;term=diphtheria-tetanus-pertussis
DW;term=dextrose in water
EACA;term=epsilon-aminocaproic acid
EC;term=enteric coating
ECC;term=endocervical curettage
ECLS;term=extracorporeal life support
ECMO;term=extracorporeal membrane oxygenation
ECT;term=electroconvulsive therapy
EDM;term=esophageal Doppler monitor
EDRF;term=endothelium-derived relaxing factor
EFM;term=electronic fetal monitoring
EGD;term=esophagogastroduodenoscopy
ELLSCS;term=elective lower segment caesarean section
EMLSCS;term=emergency lower segment Caesarean section
Emul;term=emulsion
ESHAP;term=etoposide, cisplatin, cytarabine, methylprednisolone
ESL;term=extracorporeal shockwave lithotripsy
ESWL;term=extracorporeal shockwave lithotripsy
ETOH;term=ethanol
ETS;term=endoscopic thoracic sympathectomy
ETT;term=endotracheal tube
EVAR;term=endovascular aneurysm repair
Exp Lap;term=exploratory laparotomy
FEN;term=Fluids, Electrolytes, Nutrition
FESS;term=functional endoscopic sinus surgery
FF;term=free fluids
FFP;term=fresh frozen plasma
FNC;term=full nursing care
FWD;term=full ward diet
GA;term=general anaesthesia
GH;term=growth hormone
GHRF;term=growth hormone releasing factor
GHRH;term=growth hormone releasing hormone
GIFT;term=gamete intrafallopian transfer
GITS;term=gastrointestinal therapeutic system
GM-CSF;term=granulocyte macrophage colony-stimulating factor
GNRH;term=gonadotropin-releasing hormone
GTN;term=glyceryl trinitrate
HAART;term=highly active antiretroviral therapy
HES;term=hydroxyethyl starch
HRT;term=hormone replacement therapy
I&D;term=incision and drainage
I & D;term=incision and drainage
IA;term=intra-arterial
IABP;term=intra-aortic balloon pump
ICD;term=implantable cardioverter-defibrillator
ICDS;term=Integrated Child Development Services Program
ICSI;term=intracytoplasmic sperm injection
IM;term=intramuscular
IMI;term=intramuscular injection
IMM;term=intramyometrial
IMV;term=intermittent mandatory ventilation
INH;term=isoniazid
IO;term=intraosseous infusion
IOL;term=induction of labor
IPPB;term=intermittent positive pressure breathing
IPPV;term=intermittent positive pressure ventilation
IUCD;term=intrauterine contraceptive device
IUI;term=intrauterine insemination
IUPC;term=intrauterine pressure catheter
IUS;term=intrauterine system
IUT;term=intrauterine transfusion
IV;term=intravenous
IVF;term=in vitro fertilization
IVPB;term=intravenous piggyback
KIV;term=keep in view
KVO;term=keep vein open
L&D;term=labor and delivery
L & D;term=labor and delivery
L-DOPA;term=levo-dihydroxyphenylalanine
LABA;term=long acting beta agonist
Lap appy;term=laparoscopic appendectomy
Lap;term=laparotomy
LAR;term=low anterior resection
LCHAD;term=long-chain 3-hydroxyacyl-coenzyme A dehydrogenase
LEEP;term=loop electrical excision procedure
LHC;term=left heart catheterization
LLETZ;term=large loop excision of the transformation zone
LMWH;term=low molecular weight heparin
LN;term=lymph node molecular weight heparin
LNG;term=levonorgestrel
LR;term=lactated Ringer's solution
LTAC;term=long-term acute care
LTCS;term=low transverse cesarean section
LVAD;term=left ventricular assist device
MAOI;term=monoamine oxidase inhibitor
MDI;term=metered dose inhaler
meds;term=medication
Meds;term=medication
MLE;term=midline episiotomy
MMK;term=Marshall-Marchetti-Kranz procedure
MOM;term=milk of magnesia
MOPP;term=mechlorethamine, vincristine, procarbazine, and prednisone in combination
MSH;term=melanocyte-stimulating hormone
MTX;term=methotrexate
MVR;term=mitral valve replacement
n.p.o.;term=nil by mouth
NAS;term=no added salt
NC;term=nerve action potential
NG tube;term=nasogastric tube
NG;term=nasogastric
NGT;term=nasogastric tube
npo;term=nil by mouth
NPO;term=nil by mouth
NPPV;term=noninvasive positive pressure ventilation
NRB;term=non-rebreather mask
NS;term=normal saline
NSAID;term=nonsteroidal antiinflammatory drug
NTG;term=nitroglycerin
NTT;term=nasotracheal tube
OCG;term=oral cholecystogram
OCP;term=oral contraceptive pill
ORIF;term=open reduction internal fixation
ORT;term=oral rehydration therapy
OT;term=occupational therapy
OTC;term=over-the-counter drug
PCA;term=patient-controlled analgesia
PCI;term=percutaneous coronary intervention
PCN;term=penicillin
PDGF;term=platelet-derived growth factor
PDT;term=photodynamic therapy
PEG;term=percutaneous endoscopic gastrostomy
pen;term=penicillin
Pen;term=penicillin
PEP;term=postexposure prophylaxis
PHTLS;term=prehospital trauma life support
PICC;term=peripherally inserted central catheter
PLAT;term=tissue plasminogen activator
PLT;term=platelets
PPI;term=proton pump inhibitor
PPTCT;term=prevention of parent-to-child transmission of HIV
PPTL;term=postpartum tubal ligation
PPx;term=prophylaxis
PRBC;term=packed red blood cells
PRBCs;term=packed red blood cells
PTA;term=percutaneous transluminal angioplasty
PTCA;term=percutaneous transluminal coronary angioplasty
PTH;term=parathyroid hormone
PUVA;term=psoralen UV A
PZA;term=pyrazinamide
Rad hys;term=radical hysterectomy
RAI;term=radioactive iodine
RCR;term=rotator cuff repair
resxn;term=resection
Resxn;term=resection
RICE;term=rest, ice, compression, and elevation
RIF;term=rifampin
RIMA;term=reversible inhibitor of monoamine oxidase A
RL;term=Ringer's solution
